State_Name,District_Name,Crop_Year,Season,Crop
Gujarat,AHMADABAD,1997,Kharif     ,Arhar/Tur
Gujarat,AHMADABAD,1997,Kharif     ,Bajra
Gujarat,AHMADABAD,1997,Kharif     ,Dry chillies
Gujarat,AHMADABAD,1997,Kharif     ,Groundnut
Gujarat,AHMADABAD,1997,Kharif     ,Jowar
Gujarat,AHMADABAD,1997,Kharif     ,Moong(Green Gram)
Gujarat,AHMADABAD,1997,Kharif     ,Moth
Gujarat,AHMADABAD,1997,Kharif     ,Other Kharif pulses
Gujarat,AHMADABAD,1997,Kharif     ,Urad
Gujarat,AHMADABAD,1998,Kharif     ,Arhar/Tur
Gujarat,AHMADABAD,1998,Kharif     ,Bajra
Gujarat,AHMADABAD,1998,Kharif     ,Castor seed
Gujarat,AHMADABAD,1998,Kharif     ,Cotton(lint)
Gujarat,AHMADABAD,1998,Kharif     ,Groundnut
Gujarat,AHMADABAD,1998,Kharif     ,Jowar
Gujarat,AHMADABAD,1998,Kharif     ,Maize
Gujarat,AHMADABAD,1998,Kharif     ,Moong(Green Gram)
Gujarat,AHMADABAD,1998,Kharif     ,Moth
Gujarat,AHMADABAD,1998,Kharif     ,Other Cereals & Millets
Gujarat,AHMADABAD,1998,Kharif     ,Other Kharif pulses
Gujarat,AHMADABAD,1998,Kharif     ,Rice
Gujarat,AHMADABAD,1998,Kharif     ,Sesamum
Gujarat,AHMADABAD,1998,Kharif     ,Small millets
Gujarat,AHMADABAD,1998,Kharif     ,Urad
Gujarat,AHMADABAD,1999,Kharif     ,Arhar/Tur
Gujarat,AHMADABAD,1999,Kharif     ,Bajra
Gujarat,AHMADABAD,1999,Kharif     ,Castor seed
Gujarat,AHMADABAD,1999,Kharif     ,Cotton(lint)
Gujarat,AHMADABAD,1999,Kharif     ,Groundnut
Gujarat,AHMADABAD,1999,Kharif     ,Jowar
Gujarat,AHMADABAD,1999,Kharif     ,Maize
Gujarat,AHMADABAD,1999,Kharif     ,Moong(Green Gram)
Gujarat,AHMADABAD,1999,Kharif     ,Moth
Gujarat,AHMADABAD,1999,Kharif     ,Other Cereals & Millets
Gujarat,AHMADABAD,1999,Kharif     ,Other Kharif pulses
Gujarat,AHMADABAD,1999,Kharif     ,Rice
Gujarat,AHMADABAD,1999,Kharif     ,Sesamum
Gujarat,AHMADABAD,1999,Kharif     ,Small millets
Gujarat,AHMADABAD,1999,Kharif     ,Urad
Gujarat,AHMADABAD,2000,Kharif     ,Arhar/Tur
Gujarat,AHMADABAD,2000,Kharif     ,Bajra
Gujarat,AHMADABAD,2000,Kharif     ,Castor seed
Gujarat,AHMADABAD,2000,Kharif     ,Cotton(lint)
Gujarat,AHMADABAD,2000,Kharif     ,Groundnut
Gujarat,AHMADABAD,2000,Kharif     ,Jowar
Gujarat,AHMADABAD,2000,Kharif     ,Maize
Gujarat,AHMADABAD,2000,Kharif     ,Moong(Green Gram)
Gujarat,AHMADABAD,2000,Kharif     ,Moth
Gujarat,AHMADABAD,2000,Kharif     ,Other Kharif pulses
Gujarat,AHMADABAD,2000,Kharif     ,Rice
Gujarat,AHMADABAD,2000,Kharif     ,Sesamum
Gujarat,AHMADABAD,2000,Kharif     ,Urad
Gujarat,AHMADABAD,2001,Kharif     ,Arhar/Tur
