District,2015,2016,2017,Average(1985-2016)
Kutch,531,307,464,402
Patan,661,463,932,568
Banaskantha,929,466,1136,600
Mahesana,679,457,819,717
Sabarkantha,909,678,1068,825
Aravalli,717,953,887,856
Gandhinagar,641,690,1184,744
Ahmedabad,458,419,721,699
Kheda,436,554,858,816
Anand,470,492,715,771
Vadodara,344,514,578,894
Chhota Udepur,583,835,835,1012
Panchmahal,488,891,838,897
Mahisagar,478,721,606,753
Dahod,446,811,658,752
Surendranagar,444,355,856,555
Rajkot,606,585,821,645
Morbi,559,366,952,491
Jamnagar,499,732,674,615
Devbhumi Dwarka,411,618,689,609
Porbandar,389,624,648,686
Junagadh,687,959,879,883
Gir Somnath,666,996,1079,885
Amreli,780,711,604,633
Bhavnagar,569,647,585,584
Botad,439,532,754,565
Bharuch,496,485,772,701
Narmada,596,733,989,1041
Tapi,886,1007,1092,1341
Surat,989,1085,1325,1365
Navsari,1134,1590,1673,1767
Valsad,1472,2500,2519,2162
Dangs,1368,2201,1384,2362
