State_Name,District_Name,Crop_Year,Season,Crop
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Arhar/Tur
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Coconut 
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Groundnut
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Jowar
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Maize
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Niger seed
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Other Kharif pulses
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Ragi
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Rice
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Sannhamp
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif     ,Small millets
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Rabi       ,Other  Rabi pulses
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Rabi       ,Rice
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Banana
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Coriander
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Gram
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Rapeseed &Mustard
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Sesamum
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Sugarcane
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Sunflower
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Winter     ,Wheat
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Arhar/Tur
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Banana
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Coconut 
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Groundnut
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Jowar
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Niger seed
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Other Kharif pulses
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Ragi
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Rice
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Sannhamp
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Kharif     ,Small millets
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Rabi       ,Other  Rabi pulses
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Rabi       ,Rice
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Winter     ,Gram
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Winter     ,Rapeseed &Mustard
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Winter     ,Sugarcane
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Winter     ,Sunflower
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,1999,Winter     ,Wheat
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Arhar/Tur
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Banana
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Coconut 
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Groundnut
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Jowar
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Niger seed
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Other Kharif pulses
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Ragi
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Rice
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Sannhamp
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Kharif     ,Small millets
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Rabi       ,Maize
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2000,Rabi       ,Other  Rabi pulses
